idna_subject,checker_type,destination,tested_at
2dprofessor.cadprofessor.netdna-cdn.com,AVAILABILITY,combined.txt,2021-01-25 11:53:42.579224
6dollar.threadpitinc.netdna-cdn.com,AVAILABILITY,combined.txt,2021-01-25 11:56:58.306178
a.bitporno.com,AVAILABILITY,combined.txt,2021-01-25 12:04:06.071574
a.gerasopa.com,AVAILABILITY,combined.txt,2021-01-25 12:08:57.720093
a.mlyns.com,AVAILABILITY,combined.txt,2021-01-25 12:12:11.372781
a.wlgnd.com,AVAILABILITY,combined.txt,2021-01-25 12:17:07.218706
a.speedostream.com,AVAILABILITY,combined.txt,2021-03-23 21:45:14.145135
a2plvcpnl228350.prod.iad2.secureserver.net,AVAILABILITY,combined.txt,2021-06-16 02:59:18.633110
abc.hostedbyfembed.com,AVAILABILITY,combined.txt,2021-06-16 10:58:25.383766
ad.99x.mobi,AVAILABILITY,combined.txt,2021-06-16 10:59:47.955631
ad.pentabox.net,AVAILABILITY,combined.txt,2021-06-17 05:03:11.406869
a2plvcpnl274876.prod.iad2.secureserver.net,AVAILABILITY,combined.txt,2021-07-06 19:57:52.817643
adbetnet.advertserve.com,AVAILABILITY,combined.txt,2021-07-06 20:29:14.726778
adbroker.mp.dse.microsoft.com,AVAILABILITY,combined.txt,2021-07-06 20:31:09.579556
adc.stream.moe,AVAILABILITY,combined.txt,2021-07-06 20:33:11.259513
adelogs.adobe.com,AVAILABILITY,combined.txt,2021-07-06 20:36:16.461069
adelogs.wip4.adobe.com,AVAILABILITY,combined.txt,2021-07-06 20:38:17.166331
adgroup.naver.com,AVAILABILITY,combined.txt,2021-07-06 20:40:27.838922
ads.aws.viber.com,AVAILABILITY,combined.txt,2021-07-06 20:54:58.142533
ads.globalmedianet.netdna-cdn.com,AVAILABILITY,combined.txt,2021-07-06 21:02:04.452173
ads.indiatimes.com,AVAILABILITY,combined.txt,2021-07-06 21:06:14.217445
adserver.ign.com,AVAILABILITY,combined.txt,2021-07-06 21:32:56.365157
analytics-web-producer-dods-1297332751.ap-south-1.elb.amazonaws.com,AVAILABILITY,combined.txt,2021-07-06 22:12:57.179169
api.digitalbees.it,AVAILABILITY,combined.txt,2021-07-06 22:19:31.717367
api.reon.club,AVAILABILITY,combined.txt,2021-07-06 22:22:39.367056
asv.whatismyip.win,AVAILABILITY,combined.txt,2021-07-06 22:37:40.826332
attention.inugq.netdna-cdn.com,AVAILABILITY,combined.txt,2021-07-06 22:38:49.258354
b2.ijquery11.com,AVAILABILITY,combined.txt,2021-07-06 23:00:02.237445
banners.spiceworks.com,AVAILABILITY,combined.txt,2021-07-06 23:05:39.491693
basilic.netdna-cdn.com,AVAILABILITY,combined.txt,2021-07-06 23:09:22.250562
bbcdn.go.evolutionmedia.bbelements.co,AVAILABILITY,combined.txt,2021-07-06 23:12:43.027152
best.infoiswhatwedo.com,AVAILABILITY,combined.txt,2021-07-06 23:16:00.757083
bimg.126.net,AVAILABILITY,combined.txt,2021-07-06 23:19:40.347350
bps.sysact.cn,AVAILABILITY,combined.txt,2021-07-06 23:25:34.154382
buba65.co.pl,AVAILABILITY,combined.txt,2021-07-06 23:32:47.470072
c.8l8l.com,AVAILABILITY,combined.txt,2021-07-06 23:37:13.989494
c.bxjpl.cn,AVAILABILITY,combined.txt,2021-07-07 05:20:01.787964
c.pubguard.com,AVAILABILITY,combined.txt,2021-07-07 05:22:25.147565
c.start280.com,AVAILABILITY,combined.txt,2021-07-07 05:24:05.482041
c.stream.moe,AVAILABILITY,combined.txt,2021-07-07 05:25:44.297723
cdn.complexmedianetwork.com,AVAILABILITY,combined.txt,2021-07-07 05:36:53.734480
cdn.feed4u.info,AVAILABILITY,combined.txt,2021-07-07 05:41:51.616206
cdn.plopx.com,AVAILABILITY,combined.txt,2021-07-07 05:50:21.072511
cdn.pulpix.com,AVAILABILITY,combined.txt,2021-07-07 05:53:44.063409
cdn.videoplaza1.tv,AVAILABILITY,combined.txt,2021-07-07 05:57:12.424325
cdn2.ufabet678.com,AVAILABILITY,combined.txt,2021-07-07 06:00:49.493936
cdn58826892.ahacdn.me,AVAILABILITY,combined.txt,2021-07-07 06:02:34.310173
click.abctrack.bid,AVAILABILITY,combined.txt,2021-07-07 06:10:30.081952
